, time_stamp (sec),ene,modi_ene
0,0.02864035,214.0,391.0
1,0.08615161,133.0,243.0
2,0.09154362,201.0,367.0
3,0.11864408,31.0,57.0
4,0.24832888,45.0,82.0
5,0.39772524,88.0,161.0
6,0.527536,126.0,230.0
7,0.69346243,52.0,95.0
8,0.74267614,98.0,179.0
9,0.75664941,66.0,120.0
10,0.78142613,201.0,367.0
11,0.781487,48.0,88.0
12,0.78514563,77.0,141.0
13,0.93678321,101.0,184.0
14,1.08713564,90.0,164.0
15,1.22074053,85.0,155.0
16,1.23510639,110.0,201.0
17,1.26171638,184.0,336.0
18,1.27972446,143.0,261.0
19,1.33973046,143.0,261.0
20,1.35584304,118.0,215.0
21,1.45517742,68.0,124.0
22,1.48549108,627.0,1145.0
23,1.51111584,202.0,369.0
24,1.52647984,47.0,86.0
25,1.5496351,131.0,239.0
26,1.55007821,94.0,172.0
27,1.576296,43.0,79.0
28,1.60962809,95.0,173.0
29,1.65116214,96.0,175.0
30,1.68552672,44.0,80.0
31,1.76070229,133.0,243.0
32,1.80003886,127.0,232.0
33,1.83422714,57.0,104.0
34,1.84021078,44.0,80.0
35,1.85572708,66.0,120.0
36,1.86013713,184.0,336.0
37,1.89174926,45.0,82.0
38,1.91304437,74.0,135.0
39,1.97268489,228.0,416.0
40,1.98701927,67.0,122.0
41,2.04423503,49.0,89.0
42,2.08987114,138.0,252.0
43,2.14169552,51.0,93.0
44,2.18701824,127.0,232.0
45,2.19907246,54.0,99.0
46,2.20865942,146.0,267.0
47,2.21761069,68.0,124.0
48,2.2204932,397.0,725.0
49,2.28633645,216.0,394.0
50,2.30473142,37.0,68.0
51,2.35693953,181.0,330.0
52,2.41051307,96.0,175.0
53,2.53656599,115.0,210.0
54,2.58379846,80.0,146.0
55,2.60420773,136.0,248.0
56,2.67208041,35.0,64.0
57,2.69645511,203.0,371.0
58,2.8594361,47.0,86.0
59,2.86929675,111.0,203.0
60,2.89777059,76.0,139.0
61,2.91825822,137.0,250.0
62,2.935074,61.0,111.0
63,2.94511043,124.0,226.0
64,2.99328042,50.0,91.0
