, time_stamp (sec),ene,modi_ene
0,4.16394441,390.0,782.0
1,4.16804448,174.0,349.0
2,0.00260148,196.0,393.0
3,0.03540052,155.0,311.0
4,0.0586825,173.0,347.0
5,0.08717524,137.0,275.0
6,0.12292062,59.0,118.0
7,0.125177,240.0,481.0
8,0.19189303,90.0,181.0
9,0.23037067,59.0,118.0
10,0.23107459,220.0,441.0
11,0.24235132,145.0,291.0
12,0.25925262,153.0,307.0
13,0.30628151,243.0,487.0
14,0.31740017,64.0,128.0
15,0.37163002,92.0,185.0
16,0.41266414,105.0,211.0
17,0.42085819,77.0,154.0
18,0.43209431,68.0,136.0
19,0.44106069,104.0,209.0
20,0.44456236,54.0,108.0
21,0.4482312,194.0,389.0
22,0.46878312,266.0,534.0
23,0.48327521,91.0,183.0
24,0.48770654,60.0,120.0
25,0.49807542,181.0,363.0
26,0.49838502,110.0,221.0
27,0.54825962,81.0,162.0
28,0.61498744,98.0,197.0
29,0.68311828,127.0,255.0
30,0.75775945,107.0,215.0
31,0.7693595,230.0,461.0
32,0.85113589,72.0,144.0
33,0.95350719,35.0,70.0
34,1.00651004,180.0,361.0
35,1.02781558,142.0,285.0
36,1.04501761,183.0,367.0
37,1.16199483,147.0,295.0
38,1.21911097,54.0,108.0
39,1.22368486,189.0,379.0
40,1.30559844,160.0,321.0
41,1.31908502,128.0,257.0
42,1.3515055,208.0,417.0
43,1.35736641,45.0,90.0
44,1.43927383,173.0,347.0
45,1.44607664,133.0,267.0
46,1.45335764,47.0,94.0
47,1.50213969,286.0,574.0
48,1.55346705,118.0,237.0
49,1.58841568,149.0,299.0
50,1.60864529,325.0,652.0
51,1.6181536,200.0,401.0
52,1.63852179,70.0,140.0
53,1.66452606,258.0,518.0
54,1.67603967,157.0,315.0
55,1.72358756,135.0,271.0
56,1.7732855,169.0,339.0
57,1.77977996,146.0,293.0
58,1.8380982,106.0,213.0
59,1.86841133,143.0,287.0
60,1.87212347,376.0,754.0
61,1.90803853,103.0,207.0
62,2.04172997,122.0,245.0
63,2.19787213,119.0,239.0
64,2.2503945,169.0,339.0
65,2.31312417,113.0,227.0
66,2.41490458,56.0,112.0
67,2.48218677,134.0,269.0
68,2.50605659,146.0,293.0
69,2.64027107,154.0,309.0
70,2.7180833,105.0,211.0
71,2.73844176,169.0,339.0
72,2.78023474,133.0,267.0
73,2.78588818,273.0,548.0
74,2.80421356,141.0,283.0
75,2.8364303,131.0,263.0
76,2.84430954,132.0,265.0
77,2.85867016,153.0,307.0
78,2.87720734,227.0,455.0
79,2.89961631,47.0,94.0
80,2.91185589,123.0,247.0
81,2.91284906,47.0,94.0
82,2.95918494,108.0,217.0
83,3.0322379,273.0,548.0
84,3.03623133,234.0,469.0
85,3.04391089,63.0,126.0
86,3.09509708,60.0,120.0
87,3.25872655,206.0,413.0
88,3.28057714,330.0,662.0
89,3.3012113,300.0,602.0
90,3.31919083,78.0,156.0
91,3.36264018,43.0,86.0
92,3.453459,180.0,361.0
93,3.45996825,282.0,566.0
94,3.48154838,97.0,195.0
95,3.49375183,63.0,126.0
96,3.59480114,207.0,415.0
97,3.62523707,147.0,295.0
98,3.62575182,270.0,542.0
99,3.63039479,125.0,251.0
100,3.69763992,396.0,794.0
101,3.72345327,372.0,746.0
