, time_stamp (sec),ene,modi_ene
0,0.23977506,145.0,246.0
1,0.24862143,76.0,129.0
2,0.2647951,96.0,163.0
3,0.31766593,119.0,202.0
4,0.38073973,316.0,537.0
5,0.47081869,91.0,155.0
6,0.63097301,83.0,141.0
7,0.97794367,381.0,648.0
8,1.03358116,147.0,250.0
9,1.13602276,138.0,235.0
10,1.25589844,119.0,202.0
11,1.80056386,82.0,139.0
12,1.83450967,49.0,83.0
13,1.86027374,132.0,224.0
14,1.87266108,101.0,172.0
15,1.87320171,60.0,102.0
16,1.89555711,55.0,94.0
17,2.15622888,205.0,348.0
18,2.1641274,196.0,333.0
19,2.42381101,308.0,524.0
20,2.42985019,131.0,223.0
21,2.65389962,160.0,272.0
22,2.82718542,83.0,141.0
23,2.83613103,47.0,80.0
24,2.85172038,45.0,76.0
25,2.91781476,60.0,102.0
26,2.96036224,98.0,167.0
27,2.98035731,115.0,196.0
28,3.08583827,83.0,141.0
29,3.16269344,80.0,136.0
30,3.23247163,60.0,102.0
31,3.49518762,72.0,122.0
32,3.56413622,52.0,88.0
33,3.60539164,72.0,122.0
34,3.62406158,65.0,110.0
35,3.69051071,79.0,134.0
36,3.81427944,107.0,182.0
37,3.90310147,273.0,464.0
38,3.91967745,142.0,241.0
39,3.93335341,67.0,114.0
40,3.99388886,367.0,624.0
41,3.99898323,160.0,272.0
42,4.10813707,97.0,165.0
43,4.22286308,102.0,173.0
44,4.27557778,255.0,434.0
45,4.29986975,449.0,763.0
46,4.37631136,132.0,224.0
47,4.40558239,64.0,109.0
48,4.5197757,79.0,134.0
49,4.58885675,150.0,255.0
50,4.65499957,113.0,192.0
51,4.93792809,81.0,138.0
52,4.97438834,64.0,109.0
53,5.12581302,115.0,196.0
54,5.2339708,42.0,71.0
55,5.2610463,169.0,287.0
56,5.26139225,225.0,382.0
57,5.33813977,155.0,264.0
58,5.49152584,150.0,255.0
59,5.54245469,67.0,114.0
60,5.62985914,51.0,87.0
61,5.76837208,102.0,173.0
62,5.81750726,131.0,223.0
63,5.92833543,150.0,255.0
64,5.96421604,240.0,408.0
65,6.08970107,52.0,88.0
66,6.09072088,249.0,423.0
67,6.24580458,128.0,218.0
68,6.34769795,86.0,146.0
69,6.34851111,82.0,139.0
70,6.40074075,54.0,92.0
71,6.59082776,76.0,129.0
72,6.65107926,385.0,654.0
73,6.79874692,130.0,221.0
74,6.89310472,120.0,204.0
75,6.90208709,161.0,274.0
76,7.01560505,122.0,207.0
77,7.12724633,184.0,313.0
78,7.19722643,46.0,78.0
79,7.23108738,101.0,172.0
80,7.40671331,504.0,857.0
81,7.50214673,59.0,100.0
82,7.51013965,239.0,406.0
83,7.53293619,43.0,73.0
84,7.58060244,207.0,352.0
85,7.62762309,112.0,190.0
86,7.85350763,291.0,495.0
87,7.97071994,335.0,570.0
88,8.12099431,52.0,88.0
89,8.18715415,141.0,240.0
90,8.20363502,296.0,503.0
91,8.36448804,109.0,185.0
92,8.44691566,57.0,97.0
93,8.57547896,90.0,153.0
94,8.58338581,78.0,133.0
95,8.59784004,346.0,588.0
96,8.79304686,142.0,241.0
97,8.89879244,112.0,190.0
98,8.94630165,79.0,134.0
99,9.17757589,645.0,1096.0
100,9.20398609,402.0,683.0
101,9.29900925,51.0,87.0
102,9.87908544,183.0,311.0
103,10.19401479,130.0,221.0
104,10.48486147,267.0,454.0
105,10.52182137,275.0,468.0
106,10.61485351,101.0,172.0
107,10.62817366,246.0,418.0
108,10.9918569,72.0,122.0
109,11.0298901,74.0,126.0
110,11.04524845,104.0,177.0
111,11.21626699,256.0,435.0
112,11.25072215,264.0,449.0
113,11.481139,95.0,162.0
114,11.48767019,190.0,323.0
115,11.58925008,56.0,95.0
