, time_stamp (sec),ene,modi_ene
0,0.01225779,95.0,173.0
1,0.02490147,110.0,200.0
2,0.03426927,108.0,196.0
3,0.03757594,60.0,109.0
4,0.03775289,105.0,191.0
5,0.04011118,51.0,93.0
6,0.04859928,57.0,104.0
7,0.06056894,166.0,302.0
8,0.08800294,93.0,169.0
9,0.09006563,159.0,289.0
10,0.09951594,167.0,303.0
11,0.19820343,98.0,178.0
12,0.20428213,114.0,207.0
13,0.20564677,55.0,100.0
14,0.21172216,194.0,352.0
15,0.21192557,96.0,174.0
16,0.26741312,54.0,98.0
17,0.28279772,96.0,174.0
18,0.31974484,242.0,440.0
19,0.33270664,56.0,102.0
20,0.33506194,130.0,236.0
21,0.42504404,238.0,432.0
22,0.43382939,166.0,302.0
23,0.4388115,90.0,163.0
24,0.45203094,143.0,260.0
25,0.48235316,167.0,303.0
26,0.48346411,45.0,82.0
27,0.49147936,58.0,105.0
28,0.54521446,50.0,91.0
29,0.54782953,163.0,296.0
30,0.57867876,83.0,151.0
31,0.58109561,101.0,183.0
32,0.60063033,52.0,94.0
33,0.62276759,50.0,91.0
34,0.62479394,225.0,409.0
35,0.64015431,54.0,98.0
36,0.70731009,139.0,252.0
37,0.74956788,43.0,78.0
38,0.80858161,42.0,76.0
39,0.81067519,95.0,173.0
40,0.83337815,54.0,98.0
41,0.83651674,54.0,98.0
42,0.92990104,189.0,343.0
43,0.95531902,54.0,98.0
44,0.97939705,212.0,385.0
45,1.01063301,208.0,378.0
46,1.01471276,216.0,392.0
47,1.01777055,62.0,113.0
48,1.0416222,212.0,385.0
49,1.05649806,50.0,91.0
50,1.08060448,162.0,294.0
51,1.11485349,47.0,85.0
52,1.21531544,132.0,240.0
53,1.24888179,79.0,143.0
54,1.26414195,194.0,352.0
55,1.29016836,91.0,165.0
56,1.30911489,122.0,222.0
57,1.33467734,56.0,102.0
58,1.35015317,62.0,113.0
59,1.39415235,82.0,149.0
60,1.40087844,173.0,314.0
61,1.4070804,52.0,94.0
62,1.4085531,157.0,285.0
63,1.41112765,50.0,91.0
64,1.41964739,46.0,84.0
65,1.43060527,131.0,238.0
66,1.46754619,139.0,252.0
67,1.48223783,50.0,91.0
68,1.48615665,87.0,158.0
69,1.49478841,187.0,340.0
70,1.53607224,45.0,82.0
