, time_stamp (sec),ene,modi_ene
0,3.53134213,406.0,720.0
1,0.15622966,74.0,131.0
2,0.23223864,63.0,112.0
3,0.29862427,54.0,96.0
4,0.36479513,122.0,216.0
5,0.37596983,490.0,869.0
6,0.44964619,85.0,151.0
7,0.47716508,376.0,667.0
8,0.50449051,84.0,149.0
9,0.5047514,376.0,667.0
10,0.71924012,282.0,500.0
11,0.7271464,55.0,98.0
12,0.85975501,64.0,114.0
13,1.04088824,50.0,89.0
14,1.06548606,83.0,147.0
15,1.11177038,76.0,135.0
16,1.33926993,91.0,161.0
17,1.42193518,759.0,1347.0
18,1.63358068,60.0,106.0
19,1.82804384,443.0,786.0
20,1.82898181,490.0,869.0
21,1.99240046,252.0,447.0
22,2.03582427,151.0,268.0
23,2.10276901,88.0,156.0
24,2.25884698,114.0,202.0
25,2.52807289,91.0,161.0
26,2.62048331,63.0,112.0
27,2.98150814,255.0,452.0
28,3.09942895,118.0,209.0
29,3.19380343,46.0,82.0
30,3.22829966,109.0,193.0
31,3.30940036,84.0,149.0
32,3.464795,148.0,263.0
33,3.4829152,276.0,490.0
34,3.73814454,188.0,334.0
35,3.7529691,129.0,229.0
36,3.81809988,66.0,117.0
37,4.13884186,186.0,330.0
38,4.19484642,115.0,204.0
39,4.33793537,107.0,190.0
40,4.39584233,294.0,522.0
41,4.85014682,298.0,529.0
42,4.87600082,309.0,548.0
43,4.91860465,52.0,92.0
44,4.9423095,216.0,383.0
45,5.00206818,64.0,114.0
46,5.06995889,128.0,227.0
47,5.12557726,121.0,215.0
48,5.43836733,68.0,121.0
49,5.59344096,110.0,195.0
50,5.71125398,391.0,694.0
51,5.95369984,71.0,126.0
52,5.97968506,246.0,436.0
53,6.07755023,279.0,495.0
54,6.15582566,252.0,447.0
55,6.37669671,238.0,422.0
56,6.47022385,94.0,167.0
57,6.5368473,401.0,711.0
58,6.55287625,101.0,179.0
59,6.57479152,122.0,216.0
60,6.63177159,150.0,266.0
61,7.09235857,92.0,163.0
62,7.13947737,156.0,277.0
63,7.47109327,57.0,101.0
64,7.63874474,181.0,321.0
65,7.80725996,287.0,509.0
66,8.00548774,114.0,202.0
67,8.50622554,154.0,273.0
68,8.55914768,563.0,999.0
69,8.70416671,203.0,360.0
70,8.85305392,36.0,64.0
71,8.95778533,223.0,396.0
72,9.11429243,380.0,674.0
73,9.25519644,256.0,454.0
74,9.44294063,139.0,247.0
75,9.5141029,167.0,296.0
76,9.54321918,240.0,426.0
77,9.78422521,311.0,552.0
78,9.84430139,79.0,140.0
79,9.90383674,58.0,103.0
80,10.06065187,112.0,199.0
81,10.12991706,457.0,811.0
82,10.15417238,382.0,678.0
83,10.22100924,67.0,119.0
84,10.26222331,165.0,293.0
85,10.31079463,150.0,266.0
86,10.56611484,171.0,303.0
87,11.13489062,48.0,85.0
88,11.20382373,230.0,408.0
89,11.25916645,182.0,323.0
