event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,145136,19446,63525,28264,33901,0.23977506
2,75592,38813,7956,16186,12637,0.24862143
3,95674,40351,7762,39941,7620,0.26479510
4,119472,31107,29431,32267,26667,0.31766593
5,316267,142671,29512,111155,32929,0.38073973
6,90881,18114,22419,36559,13789,0.47081869
7,83252,14416,28748,18227,21861,0.63097301
8,380580,127488,48868,161624,42600,0.97794367
9,146589,22534,49444,23805,50806,1.03358116
10,137923,29070,40092,33250,35511,1.13602276
11,118885,23827,31158,44610,19290,1.25589844
12,81884,21047,18693,26724,15420,1.80056386
13,48733,11504,7905,4871,24453,1.83450967
14,132035,40332,21063,51465,19175,1.86027374
15,100814,47801,11873,19287,21853,1.87266108
16,60453,17295,13042,12516,17600,1.87320171
17,55398,5527,28972,10108,10791,1.89555711
18,205065,70882,36619,43444,54120,2.15622888
19,196008,34336,41891,20742,99039,2.16412740
20,308112,82467,71749,81941,71955,2.42381101
21,131445,32382,32337,40280,26446,2.42985019
22,159750,28072,37636,74566,19476,2.65389962
23,82863,7716,30444,6681,38022,2.82718542
24,46612,24160,4254,12328,5870,2.83613103
25,45461,12787,10051,12729,9894,2.85172038
26,60098,27196,6831,8741,17330,2.91781476
27,97880,35039,9114,45227,8500,2.96036224
28,114970,40816,15189,45257,13708,2.98035731
29,82831,8227,38231,24032,12341,3.08583827
30,80242,17997,21400,20512,20333,3.16269344
31,59719,14562,9141,30176,5840,3.23247163
32,72081,31600,8581,21092,10808,3.49518762
33,51625,25959,5167,12756,7743,3.56413622
34,71960,15634,18219,11674,26433,3.60539164
35,65383,21137,11382,11416,21448,3.62406158
36,79157,6384,38279,9367,25127,3.69051071
37,106983,11470,54493,22276,18744,3.81427944
38,273351,76157,60283,70195,66716,3.90310147
39,142035,48917,23974,27393,41751,3.91967745
40,66814,6264,35865,12702,11983,3.93335341
41,367195,39323,171176,50690,106006,3.99388886
42,160379,19361,72241,26627,42150,3.99898323
43,96923,18602,27756,19180,31385,4.10813707
44,102388,12424,31510,48251,10203,4.22286308
