event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,136361,65475,13910,39919,17057,0.03016618
2,139374,50451,18119,54158,16646,0.08761176
3,371034,83048,64141,182297,41548,0.45851868
4,121795,17788,43443,20820,39744,1.06427684
5,122108,38727,22360,38967,22054,1.23650124
6,65365,25548,9999,14715,15103,1.31015805
7,138561,19510,35731,69197,14123,1.31541775
8,121305,34102,14901,60688,11614,1.36345622
9,357542,92149,87522,97857,80014,1.53772043
10,193884,58657,28849,81431,24947,1.74956329
11,116765,45934,13165,43192,14474,1.78091660
12,92680,24521,14992,10799,42368,1.92663731
13,130921,32742,29865,44780,23534,1.93178170
14,167963,20294,71304,52666,23699,1.96871850
15,121880,41465,18931,18864,42620,2.01897026
16,63707,8819,16443,32340,6105,2.15109610
17,108920,40075,16343,17334,35168,2.25356154
18,325976,29031,138538,126531,31876,2.50412103
19,195673,89172,17859,69414,19228,2.56287385
20,92037,14192,35984,24856,17005,2.62710598
21,189719,30381,58734,72736,27868,2.69321029
22,79856,7389,39445,23818,9204,2.97627994
23,79818,10537,32980,11923,24378,2.99492702
24,112884,54109,9580,11983,37212,3.05334786
25,149009,15897,64725,49377,19010,3.06101660
26,38796,15731,3106,16993,2966,3.10280948
27,115275,20583,38939,28719,27034,3.17840033
28,654582,242060,80599,75268,256655,3.25600218
29,229301,98615,20555,21295,88836,3.63640543
30,113615,21882,21148,10738,59847,3.76511028
31,176867,25738,54464,74666,21999,3.87327896
32,70263,29809,9939,13039,17476,3.88433680
33,147081,56688,21850,42585,25958,4.08838951
34,58508,9310,13187,30313,5698,4.18598820
35,296829,26663,132319,107817,30030,4.29735404
36,211009,75992,21841,92581,20595,4.42959849
37,114433,54834,10134,12910,36555,4.50497114
38,93895,42956,8499,33676,8764,4.62210288
39,206047,36272,67378,37202,65195,4.88937601
40,45055,9983,7445,4133,23494,5.30815285
41,49274,14935,7052,21390,5897,5.45967099
42,57150,10977,12656,6653,26864,5.54140809
43,76820,9729,32338,11809,22944,5.62570095
44,167389,31033,52993,52424,30939,5.89910193
45,385267,162992,40420,136831,45024,6.17549183
46,372574,50512,156618,83574,81870,6.33522034
47,48703,3786,21874,4048,18995,6.42943964
48,153541,24671,43714,19822,65334,6.75282661
49,126913,42806,17069,16362,50676,6.92478088
50,78120,23960,13812,28360,11988,7.06110919
51,131126,15759,53429,44705,17233,7.22525359
52,174699,47119,27311,80184,20085,7.36587573
53,306848,35841,136191,43856,90960,7.43483190
54,48476,8242,11598,5256,23380,7.48775010
55,83115,10533,37340,19078,16164,7.84431522
56,62763,19943,9498,24449,8873,8.09123214
57,628715,71883,242321,73957,240554,8.14820138
58,93287,8813,42894,9757,31823,8.15477109
59,70211,14787,18975,13622,22827,8.15878140
60,55764,19834,6997,6297,22636,8.28090441
61,205656,23149,73035,88539,20933,8.50273363
62,63180,4687,28097,5883,24513,8.51355355
63,96363,23903,22898,31549,18013,8.70679676
64,95329,23070,25552,21399,25308,8.74417752
65,89265,12810,35811,25869,14775,8.85397806
66,587215,70624,230294,80569,205728,8.98310360
67,676753,81728,254709,84557,255759,9.38024759
68,137434,34549,19542,12472,70871,9.52533229
69,107381,29269,24045,26242,27825,9.53976915
70,120953,20767,41820,24188,34178,9.62946340
71,75898,23958,8417,37345,6178,9.63390445
72,364529,37410,173134,102621,51364,9.65133760
73,145960,48062,27301,36040,34557,9.69047091
74,356791,59004,97496,47306,152985,9.77265351
75,213847,43374,47301,96427,26745,9.86603829
76,74498,19853,12236,34094,8315,9.87785767
