event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,352199,114741,59645,58890,118923,0.01343556
2,481796,152239,85225,99519,144813,0.36695545
3,137047,33836,23017,16526,63668,0.44897815
4,337509,46796,92959,162138,35616,0.44922599
5,349264,152492,47647,76786,72339,0.49729468
6,80973,7790,41839,20628,10716,1.00467771
7,187805,18124,95718,24953,49010,1.14697872
8,81100,6860,36804,8671,28765,1.26336281
9,44447,11352,11532,9829,11734,1.30138570
10,76691,31569,7465,30263,7394,1.48745724
11,157096,20899,63771,23570,48856,1.57689277
12,80357,33494,11719,19026,16118,1.62088275
13,138303,66440,14715,19314,37834,1.67609569
14,50514,13808,11672,14166,10868,1.73787154
15,82742,10396,35807,13309,23230,1.75121585
16,96122,16195,33029,28339,18559,1.79153748
17,138651,15319,70268,28934,24130,2.07997086
18,56535,5997,27150,7177,16211,2.11441811
19,39284,11945,7769,12470,7100,2.42222962
20,78075,20732,13199,35429,8715,2.58221857
21,362468,60744,126381,106989,68354,2.61234986
22,314420,125536,30973,30944,126967,2.69576514
23,82990,21825,19007,16867,25291,2.90932365
24,97349,10964,46601,23446,16338,2.92487090
25,470214,107840,108100,178997,75277,2.97840474
26,145247,15524,71590,39281,18852,3.14981440
27,60884,10590,16497,7630,26167,3.95789226
28,107408,9935,55043,28481,13949,3.96602618
29,92902,27914,11415,8779,44794,4.17167092
30,110179,9143,51822,38751,10463,4.36582221
31,50469,8804,10458,4257,26950,4.38584531
32,177793,39673,34514,23106,80500,4.66099457
33,737711,249426,108998,286171,93116,5.23459964
34,309168,40904,136719,65438,66107,5.27042168
35,108410,12984,49501,22522,23403,5.47684945
36,72943,13058,25119,15078,19688,5.87310008
37,50918,18311,5454,5116,22037,6.25644709
38,242733,58311,56763,41922,85737,6.64505795
39,99388,44503,12318,17240,25327,6.92101622
40,116665,17649,42040,18128,38848,6.96620286
41,77536,7075,40361,19923,10177,7.29548518
42,60863,6499,24148,8003,22213,7.67757074
43,55012,25650,5307,16931,7124,7.73212617
44,349009,173676,39179,69814,66340,8.01306737
45,88957,22791,22209,18822,25135,8.16576728
46,146011,62132,11815,12430,59634,8.29255958
47,49197,7452,15536,19011,7198,8.58082208
48,152100,16057,57473,63214,15356,8.72749526
49,167701,23299,71916,41713,30773,9.01178247
50,96902,51482,9395,15448,20577,9.41496060
51,155922,24193,35378,80736,15615,9.50050316
52,575468,250960,68320,160237,95951,9.50075454
53,53039,6669,24158,11888,10324,9.58862074
54,404613,73155,135800,114115,81543,9.90976338
55,112299,14290,48795,23548,25666,10.46121742
