event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,95492,51132,8924,15132,20304,0.01225779
2,109522,45731,12918,35738,15135,0.02490147
3,108037,11817,42011,11688,42521,0.03426927
4,59894,19298,10729,19755,10112,0.03757594
5,104529,13592,30087,11298,49552,0.03775289
6,51133,5606,24287,10558,10682,0.04011118
7,56836,6609,27408,12514,10305,0.04859928
8,166202,16473,73507,19101,57121,0.06056894
9,93080,28792,15617,13895,34776,0.08800294
10,158741,27003,37052,19139,75547,0.09006563
11,166623,16352,88400,31882,29989,0.09951594
12,98009,14369,28417,44408,10815,0.19820343
13,114231,15298,30971,11442,56520,0.20428213
14,55023,19173,5644,4821,25385,0.20564677
15,193728,39314,43313,86263,24838,0.21172216
16,96421,16238,19313,51775,9095,0.21192557
17,53860,19816,6782,20998,6264,0.26741312
18,95700,11048,39852,31031,13769,0.28279772
19,241504,38643,69665,101172,32024,0.31974484
20,55770,28757,5212,13722,8079,0.33270664
21,130313,49810,11988,10431,58084,0.33506194
22,237713,24318,124665,45673,43057,0.42504404
23,166086,71307,20855,27681,46243,0.43382939
24,90492,30606,10145,8670,41071,0.43881150
25,142746,21423,51146,23864,46313,0.45203094
26,166745,52870,19388,14569,79918,0.48235316
27,45173,7351,9884,3886,24052,0.48346411
28,58134,24867,7776,14212,11279,0.49147936
29,49800,13849,6272,24937,4742,0.54521446
30,163079,18026,78991,30982,35080,0.54782953
31,83416,21835,19952,23908,17721,0.57867876
32,100848,27309,16942,44372,12225,0.58109561
33,52034,10721,15362,15236,10715,0.60063033
34,49752,14809,9301,18196,7446,0.62276759
35,224981,106205,24007,29393,65376,0.62479394
36,53582,16266,7959,22113,7244,0.64015431
37,139148,38733,26793,51551,22071,0.70731009
38,43268,20769,3994,13100,5405,0.74956788
39,42021,19691,3389,4041,14900,0.80858161
40,94948,28449,19775,25819,20905,0.81067519
41,53985,7199,22690,14622,9474,0.83337815
42,54147,20640,8468,10633,14406,0.83651674
43,188677,25835,64395,73164,25283,0.92990104
44,53891,23811,4092,21312,4676,0.95531902
45,211745,44438,61962,53662,51683,0.97939705
46,208182,29287,52621,106272,20002,1.01063301
47,216330,30903,65940,25977,93510,1.01471276
48,62193,29130,7363,11957,13743,1.01777055
49,212131,56517,27791,105805,22018,1.04162220
50,49998,23328,5000,15524,6146,1.05649806
51,162461,15098,61847,13378,72138,1.08060448
52,46856,5520,19780,6301,15255,1.11485349
53,131506,33116,29551,46289,22550,1.21531544
54,78734,22017,16884,20391,19442,1.24888179
55,193630,88111,24194,40130,41195,1.26414195
56,91222,34281,13781,27564,15596,1.29016836
57,122090,34608,15121,60274,12087,1.30911489
58,55897,18696,9399,17988,9814,1.33467734
59,61989,25856,5754,24340,6039,1.35015317
60,82039,27230,15088,20191,19530,1.39415235
61,172657,17780,77440,22630,54807,1.40087844
62,52022,4672,24361,15839,7150,1.40708040
63,157032,71905,15181,52564,17382,1.40855310
64,49722,9915,13136,18872,7799,1.41112765
65,46322,16283,7825,12376,9838,1.41964739
66,130621,25869,23411,68630,12711,1.43060527
67,139302,26236,32763,19782,60521,1.46754619
68,50105,7000,21431,9503,12171,1.48223783
69,86917,40678,7694,8476,30069,1.48615665
70,187156,28002,76443,35144,47567,1.49478841
71,45250,22240,3903,13635,5472,1.53607224
72,46658,17327,4752,4311,20268,1.54493986
73,56055,5112,25042,20656,5245,1.54820079
74,86241,19568,23490,23329,19854,1.55085614
75,55062,5060,28635,8006,13361,1.55802676
76,36589,16391,2628,2981,14589,1.58497023
77,56550,4879,28689,7106,15876,1.59169604
78,53689,7963,13523,4378,27825,1.60205236
79,241923,110488,28376,66065,36994,1.63604743
80,63758,18422,10257,27101,7978,1.66442271
81,103422,38984,15577,30550,18311,1.66839079
82,52370,4825,21539,5100,20906,1.74326990
83,188310,26223,79651,41087,41349,1.76794247
84,43594,3968,16904,19578,3144,1.81824227
85,184240,62439,20211,17777,83813,1.85433083
86,92910,40523,7329,8149,36909,1.86391091
87,71015,13600,15993,32986,8436,1.88952387
88,225942,33972,92048,44248,55674,1.89693740
89,134969,33472,19596,12079,69822,1.89871270
90,91713,6716,38908,7203,38886,1.90240752
91,55769,5194,23643,5262,21670,1.91237037
92,189836,17158,83659,18626,70393,1.92305241
93,57110,4830,31303,11896,9081,1.93001527
94,140874,26480,44347,42795,27252,1.95672701
95,45830,8329,12783,18621,6097,1.96210101
96,209457,34276,72487,36720,65974,1.96908494
97,210742,82382,31255,53083,44022,2.00258426
98,160208,66056,17332,57626,19194,2.03332482
99,81715,6822,37133,7467,30293,2.04889379
100,114586,19342,25362,11970,57912,2.05035774
101,163956,52503,28777,27491,55185,2.09142980
102,210478,21978,110285,40540,37675,2.10548399
103,50884,5706,23107,13887,8184,2.13849970
104,215461,19195,101163,73170,21933,2.17166485
105,60652,7248,26159,9383,17862,2.18740434
106,35505,6270,10445,6559,12231,2.23595295
107,67661,10576,21268,25854,9963,2.25282857
108,201405,23676,72684,83451,21594,2.30187881
109,129935,30703,30360,48163,20709,2.31183218
110,117547,9713,54634,41927,11273,2.33410264
111,134192,11085,55904,10615,56588,2.33519588
112,191740,45722,29459,18326,98233,2.37582659
113,38867,15374,3138,2693,17662,2.37978457
114,55822,5177,28514,13903,8228,2.39482968
115,213368,23191,79317,23232,87628,2.41169012
116,200827,56899,43367,57550,43011,2.42335363
117,221380,111348,25029,45707,39296,2.42442454
118,41709,5600,14189,17011,4909,2.49038345
119,163616,57362,15344,76814,14096,2.49039340
120,47969,4964,23934,6889,12182,2.51991762
121,50554,16878,6406,21897,5373,2.53853023
122,108662,40911,17530,21699,28522,2.56056865
123,43373,21386,4558,7775,9654,2.57680451
124,165971,19415,51937,78902,15717,2.60031883
125,60967,5446,32799,13148,9574,2.62804612
126,82043,28548,14386,20816,18293,2.64747519
127,142958,15180,57648,55091,15039,2.68389515
128,45830,6985,16476,15062,7307,2.73652080
129,175898,33363,32876,18052,91607,2.74958334
130,52034,4269,21900,4450,21415,2.75138588
131,164177,47894,23182,19003,74098,2.76231467
132,84558,7535,45552,16316,15155,2.80580159
133,201250,23343,82056,69752,26099,2.80992435
134,38982,20907,3486,6693,7896,2.81496199
135,83737,18908,14652,9296,40881,2.81924463
136,203728,40471,43211,24085,95961,2.82745868
137,150520,18403,58729,19937,53451,2.83501343
138,97206,24642,22367,32816,17381,2.83526854
139,49893,19485,6013,17923,6472,2.83913638
140,160248,53490,26672,52277,27809,2.84219184
141,91211,17377,27754,17244,28836,2.84905035
142,51312,5442,17681,4496,23693,2.85201282
143,48505,3910,23980,5504,15111,2.85480407
144,45007,3794,23729,5917,11567,2.88830061
145,225346,21142,115665,55589,32950,2.89156495
146,241911,27424,114172,62187,38128,2.89421014
147,104503,15268,25272,53777,10186,2.90161285
148,71996,5741,36527,9169,20559,2.91061334
149,125522,19977,47499,23699,34347,2.91443554
150,48697,5857,19151,17244,6445,2.96469454
151,120784,15194,55458,21790,28342,3.00948540
152,190347,84223,23883,49449,32792,3.04171811
153,51042,4247,26847,13279,6669,3.04700360
154,66958,14593,15415,10166,26784,3.04756700
155,94809,41608,11657,25827,15717,3.06413342
156,75698,21900,16044,18115,19639,3.06845527
157,47427,14435,9130,15913,7949,3.10075847
158,48602,22673,3927,17469,4533,3.10542147
159,81394,10878,34182,18285,18049,3.10695749
160,126529,40160,17989,52662,15718,3.16371232
161,57351,7310,25723,12918,11400,3.18381705
162,57439,5020,28731,16913,6775,3.19803881
163,78697,7263,40402,10341,20691,3.22090341
164,215614,33719,51480,23135,107280,3.24095267
165,178153,26418,51445,79651,20639,3.24313589
166,95529,17244,31899,19145,27241,3.25583481
167,45851,16307,7813,12077,9654,3.27332438
168,121975,22452,31847,18248,49428,3.34526825
169,187203,18170,78134,71531,19368,3.34612306
170,273974,36933,97209,104191,35641,3.41872557
171,64684,21773,12275,13833,16803,3.43821683
172,190382,92828,18648,24066,54840,3.45815334
173,69635,5631,29255,5233,29516,3.53806618
174,79491,21386,18991,17319,21795,3.54905577
175,182959,23052,50981,17335,91591,3.55767609
176,141468,16832,63955,37004,23677,3.56627241
177,108534,20330,35457,25121,27626,3.57937908
178,174587,15369,81273,18658,59287,3.58255864
179,104607,20212,24336,46149,13910,3.58282744
180,132870,14706,61829,20375,35960,3.59801455
181,54821,16538,9927,19920,8436,3.60280167
182,233289,23914,122571,39198,47606,3.63185793
183,51961,6323,23832,11514,10292,3.64228560
184,57314,5288,25965,19973,6088,3.67370739
185,79989,10075,26143,35523,8248,3.69438421
186,40241,4941,15663,5507,14130,3.70673580
187,183140,18858,71271,19353,73658,3.70839635
188,225453,22812,118755,47297,36589,3.75045521
189,239749,20071,114342,26832,78504,3.76166372
190,106968,24870,22352,44597,15149,3.79282546
191,70070,11314,16367,7014,35375,3.80664292
192,124313,13414,62989,24305,23605,3.83321817
193,120463,53001,16021,23671,27770,3.83326470
194,116638,50282,15351,30480,20525,3.83691507
195,44239,5111,15010,19932,4186,3.86514076
196,98642,11582,38105,35684,13271,3.89895187
197,53111,20311,5117,22576,5107,3.97178947
198,59397,4524,31410,8892,14571,3.99366112
199,71809,30598,10015,16834,14362,4.01378365
200,132658,21321,49624,35753,25960,4.07316895
201,72960,13523,20876,26928,11633,4.07584128
202,112260,25232,29062,22976,34990,4.07878460
203,156339,37260,29369,21341,68369,4.08572631
204,136016,22551,32106,66069,15290,4.16951035
205,135687,19149,34378,12314,69846,4.18424261
206,228506,23246,97764,83562,23934,4.18488441
207,84275,29221,14582,17214,23258,4.18925518
208,218963,66731,35581,84458,32193,4.20456757
209,141336,13340,66815,45529,15652,4.21294165
210,52229,4798,19262,4439,23730,4.21406006
211,60701,19244,6909,28977,5571,4.25123570
212,84964,37997,9949,13435,23583,4.25629020
213,48478,4515,24591,6364,13008,4.27570049
214,182499,52910,24997,20009,84583,4.29206611
215,77292,18888,20113,18168,20123,4.30997152
216,223791,108928,22318,30204,62341,4.32148270
217,84576,28457,11479,10854,33786,4.34340345
218,146960,43651,28980,46990,27339,4.35559136
219,128181,27668,25572,24648,50293,4.36309743
220,65021,6583,28531,22198,7709,4.36751962
221,283579,59626,57228,34413,132312,4.38758696
222,70644,15010,15965,9793,29876,4.42215390
223,48912,7984,17094,13688,10146,4.44134339
224,128934,26910,38219,30861,32944,4.45792735
225,79736,12453,31341,19391,16551,4.49395763
226,128271,14449,41496,60983,11343,4.49561946
227,213335,85390,20674,20672,86599,4.51765268
228,74600,5800,31721,31389,5690,4.53488654
229,54807,12842,8818,5508,27639,4.54696579
230,50483,24440,4077,4936,17030,4.55821570
231,70321,37965,6582,13951,11823,4.58010975
232,115403,21512,32728,19100,42063,4.60674496
233,73502,14665,21394,18895,18548,4.61694316
234,53801,5151,25725,16754,6171,4.62524917
235,30010,5956,8830,8954,6270,4.63048681
236,60150,25644,8085,15757,10664,4.64778500
237,44972,18433,4670,17101,4768,4.68762318
238,139804,33119,31761,22699,52225,4.71039957
239,53993,6217,22956,7143,17677,4.78171137
240,175213,26399,70931,32103,45780,4.80160242
241,117264,9570,50715,10179,46800,4.81198316
242,54573,5708,27513,11159,10193,4.84524238
243,74657,23587,8488,35614,6968,4.86057949
244,168333,16358,89340,35110,27525,4.86179185
245,170609,37838,48307,39504,44960,4.90323638
246,179484,30213,61004,33539,54728,4.94264992
247,226334,99988,29083,50567,46696,4.94873209
248,115758,49336,15825,20240,30357,4.96264625
249,75144,8745,26565,32105,7729,5.00044168
250,72154,34196,7664,10318,19976,5.00161801
251,64470,13132,17855,20815,12668,5.02366326
252,205986,63715,37069,71604,33598,5.05172407
253,45785,4297,23642,10984,6862,5.06689637
254,55689,14632,11898,19733,9426,5.08746210
255,50166,25094,5481,9184,10407,5.08872757
256,49829,8233,12182,23785,5629,5.09454300
257,55804,6751,25592,11727,11734,5.12237958
258,157874,17232,66214,55176,19252,5.13597918
259,211872,19049,101937,24407,66479,5.19647584
260,107659,19695,20849,56448,10667,5.20818383
261,231882,31349,74146,99736,26651,5.24634936
262,205017,18994,97653,23701,64669,5.27328351
263,118106,10297,59178,14198,34433,5.27604124
264,69848,9168,24996,26970,8714,5.29635801
265,52719,20880,4859,22027,4953,5.30295831
266,50013,19414,5253,4866,20480,5.33312812
267,161451,56810,27484,44588,32569,5.36542026
268,55693,5998,24924,7134,17637,5.38915960
269,260414,97799,38452,43499,80664,5.39841131
270,178413,54585,26396,74342,23090,5.40954169
271,55004,4940,25515,5257,19292,5.43723647
272,214382,88723,17988,90567,17104,5.48442933
273,177304,52103,27178,23705,74318,5.49040621
274,50057,11852,9651,22170,6384,5.52629555
275,58789,14352,13915,9790,20732,5.55757099
276,135337,18737,55743,38466,22391,5.59587385
277,116561,52533,13626,32017,18385,5.61313490
278,53924,4023,23263,4450,22188,5.63098768
279,50236,6521,14675,24233,4807,5.65527933
280,177435,29815,64902,37543,45175,5.67193522
281,228550,33171,77332,85048,32999,5.67467536
282,97226,16977,21620,20213,38416,5.74205564
283,82122,43956,7745,16995,13426,5.76064693
284,54118,5431,21461,5311,21915,5.77591691
285,46803,9915,13695,13527,9666,5.79631062
286,156887,35582,37424,25401,58480,5.79661319
287,133650,70538,12423,30135,20554,5.81705816
288,154082,15937,80261,31217,26667,5.83113738
289,248363,22331,99892,22304,103836,5.85734504
290,137168,16892,60770,36281,23225,5.85758091
291,101233,9297,52314,24888,14734,5.88319458
292,216236,90147,28574,33537,63978,5.88920903
293,60091,6831,29035,11627,12598,5.91257851
294,89024,27185,10747,8732,42360,5.96845836
295,219367,96884,25295,30044,67144,6.05089645
