event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,136635,14689,67318,19621,35007,0.04943737
2,121069,11948,61609,31118,16394,0.21477871
3,59002,8181,18194,7785,24842,0.44493625
4,73231,28520,8657,26855,9199,1.37373657
5,52701,6808,21954,14973,8966,1.67488725
6,327407,127852,37123,124344,38088,2.08589879
7,536991,228022,74904,111194,122871,2.15235492
8,86401,9281,42290,22962,11868,2.41066490
9,68054,7016,33494,17964,9580,2.55281246
10,298571,35562,131415,44235,87359,2.83689719
11,67680,25347,5992,30494,5847,2.88990375
12,73362,36235,6733,21443,8951,2.90927579
13,92119,34959,9696,38324,9140,3.15610574
14,282929,33898,87653,134262,27116,3.26459365
15,180093,63061,25541,26193,65298,3.68261928
16,58336,21715,8736,9626,18259,4.07036838
17,65137,16958,14882,20069,13228,5.21535679
18,76620,9087,23927,8493,35113,5.32796999
19,60193,22275,9718,13013,15187,5.46808589
20,112328,10579,57659,29661,14429,5.63824031
21,352801,67397,88814,144128,52462,5.82274373
22,355554,54243,136137,107991,57183,6.19480451
23,84902,16649,21787,33439,13027,6.45393018
24,421611,47658,193757,118877,61319,6.69250166
25,341895,61593,79224,125497,75581,6.73348028
26,49571,13755,10896,10270,14650,6.81234961
27,61195,10828,16290,25645,8432,6.88667810
28,69034,9207,22938,7701,29188,7.33104454
29,81212,18366,12370,42700,7776,7.60541884
30,129643,14480,53689,16392,45082,8.10816713
31,126814,13086,49455,51330,12943,8.16687336
32,69733,30392,5648,6014,27679,8.34973955
33,113913,28305,27962,23094,34552,8.36084148
34,391575,70159,121842,67347,132227,8.91274489
35,119900,52397,10521,11022,45960,9.05470340
36,130358,16176,56208,37984,19990,9.08208974
37,166934,18386,74080,21343,53125,9.09164458
38,87087,9564,40380,24371,12772,9.36885461
39,116220,44912,12612,46250,12446,9.47297610
40,109050,12555,48863,31937,15695,9.50658246
41,342617,42566,125451,44414,130186,9.57738448
42,397863,82845,77988,194132,42898,9.63582835
43,404832,57884,118444,176344,52160,9.64840451
44,393493,53701,117843,43980,177969,9.66418094
45,57920,6273,27310,15593,8744,9.74327952
46,93535,26076,11603,8474,47382,9.78195561
47,45650,13253,9273,15229,7895,9.93287905
48,147256,32888,23670,15684,75014,9.93773427
49,124880,23282,41394,31516,28688,10.04221301
50,111882,45923,16427,28502,21030,10.11843058
51,49606,25226,4781,6909,12690,10.51172971
52,195095,19608,97491,24893,53103,10.76571658
53,107227,26795,15361,54115,10956,10.82267086
54,59049,4953,29661,17706,6729,10.85818166
55,91098,12119,33831,12054,33094,11.06003072
56,53823,16870,10625,14080,12248,11.06462606
57,266734,34009,97320,34336,101069,11.21844234
58,157010,63045,17625,57035,19305,11.27962953
59,145711,53360,13817,12593,65941,11.36205897
60,155059,14694,78670,19479,42216,11.74575266
61,50895,7895,18455,14712,9833,12.16072665
62,90954,29691,9432,44177,7654,12.18955446
63,225366,21455,112950,28542,62419,12.22601110
64,433203,46241,177298,50148,159516,12.52756766
65,81918,22468,17992,17722,23736,12.57281942
66,125633,32351,23123,18357,51802,12.57831398
67,80047,35090,6854,7092,31011,12.69406225
68,132323,15837,60563,22887,33036,12.82692800
69,68710,23990,11871,16946,15903,12.90600922
70,153365,25006,56006,33070,39283,13.14127748
71,94872,7672,39672,7353,40175,13.15352892
72,190853,17920,87229,19923,65781,13.24246900
73,192295,29508,64457,68015,30315,13.40480808
74,193178,73800,17651,85267,16460,13.42382855
75,207979,26896,91153,36649,53281,13.66363100
76,58334,21695,6262,5793,24584,14.11122657
77,205119,65572,23487,96059,20001,14.77263872
78,125137,10424,56759,46467,11487,14.99228623
79,65137,31480,6014,7547,20096,16.04633469
80,197792,99459,21921,34283,42129,16.43854664
81,60677,29023,5521,6851,19282,16.65097456
82,61521,14241,16987,16436,13857,17.14500047
83,70445,8783,26490,26391,8781,17.39334436
84,91806,20345,22019,31977,17465,17.60750355
85,186883,80090,20184,63069,23540,17.64381248
86,117878,11085,61082,16433,29278,18.42919594
87,47163,24576,4443,10937,7207,18.62108021
