event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
102,390164,42197,164912,47054,136001,4.16394441
103,174238,36962,28529,90175,18572,4.16804448
1,196185,20285,75959,79805,20136,0.00260148
2,154549,20235,43447,74679,16188,0.03540052
3,172819,57926,28767,56550,29576,0.05868250
4,136620,22866,28840,12961,71953,0.08717524
5,58868,25033,4396,25353,4086,0.12292062
6,239537,19617,100010,19889,100021,0.12517700
7,90095,29615,10007,42086,8387,0.19189303
8,58789,23310,5331,5013,25135,0.23037067
9,220473,63174,48064,54035,55200,0.23107459
10,144784,15709,70878,38135,20062,0.24235132
11,153037,26715,33979,17110,75233,0.25925262
12,243478,89627,37153,42141,74557,0.30628151
13,63719,30090,5224,6340,22065,0.31740017
14,91726,28545,13629,37856,11696,0.37163002
15,104711,22527,19789,50172,12223,0.41266414
16,76643,6872,39957,18990,10824,0.42085819
17,68217,16830,17852,18467,15068,0.43209431
18,103954,24094,27218,31012,21630,0.44106069
19,54110,5368,18832,25657,4253,0.44456236
20,193777,19921,93636,55531,24689,0.44823120
21,265576,82187,40349,106261,36779,0.46878312
22,90896,8874,42876,25969,13177,0.48327521
23,60305,10384,14604,28211,7106,0.48770654
24,180902,66085,28765,51806,34246,0.49807542
25,109670,13015,32567,9675,54413,0.49838502
26,81147,32417,7062,6366,35302,0.54825962
27,98010,10693,37927,37853,11537,0.61498744
28,126951,34065,30202,27928,34756,0.68311828
29,106703,11145,55195,18309,22054,0.75775945
30,230428,58912,57506,62569,51441,0.76935950
31,72148,16883,14359,10668,30238,0.85113589
32,34787,13437,3132,2534,15684,0.95350719
33,179528,57255,32443,57377,32453,1.00651004
34,142449,59130,11849,59897,11573,1.02781558
35,183084,28873,55381,72978,25852,1.04501761
36,146670,43165,17629,72088,13788,1.16199483
37,53685,16393,11148,12176,13968,1.21911097
38,188612,86064,16212,18298,68038,1.22368486
39,160165,75194,15053,18293,51625,1.30559844
40,127529,46809,12501,55933,12286,1.31908502
41,207978,81439,21613,21311,83615,1.35150550
42,44818,3702,19810,17464,3842,1.35736641
43,173280,17733,87516,24395,43636,1.43927383
44,132600,15615,58817,39451,18717,1.44607664
45,47489,11215,8408,22698,5168,1.45335764
46,285534,133139,26147,32882,93366,1.50213969
47,117718,40326,19251,37239,20902,1.55346705
48,149147,57876,21604,25645,44022,1.58841568
49,325392,64408,89826,57598,113560,1.60864529
50,200405,105368,20442,36635,37960,1.61815360
51,70189,19868,15353,18584,16384,1.63852179
52,257558,101044,40410,67702,48402,1.66452606
53,157078,52232,25818,26115,52913,1.67603967
54,135245,42225,21084,52453,19483,1.72358756
55,169094,73650,20723,47941,26780,1.77328550
56,145729,52823,23348,41786,27772,1.77977996
57,106039,35133,11343,9050,50513,1.83809820
58,143379,40393,17884,13551,71551,1.86841133
59,376041,47661,126738,160805,40837,1.87212347
60,103461,27394,19441,40848,15778,1.90803853
61,121878,11233,62943,32058,15644,2.04172997
62,118637,61287,12440,23324,21586,2.19787213
63,168604,41611,39765,30713,56515,2.25039450
