event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
22,406379,41042,163896,43161,158280,3.53134213
1,74407,37170,7291,9602,20344,0.15622966
2,63490,10013,24134,12426,16917,0.23223864
3,54287,27916,5535,12290,8546,0.29862427
4,122058,44197,20620,25813,31428,0.36479513
5,489590,55891,180765,203749,49185,0.37596983
6,85359,35801,10895,26508,12155,0.44964619
7,376211,122909,45998,39333,167971,0.47716508
8,84383,24217,13929,35574,10663,0.50449051
9,376067,99000,65534,51516,160017,0.50475140
10,281673,25853,135438,86578,33804,0.71924012
11,54746,21894,5475,5346,22031,0.72714640
12,63990,10735,15315,30698,7242,0.85975501
13,49677,10568,12577,18627,7905,1.04088824
14,82994,18554,16784,11215,36441,1.06548606
15,75969,13083,24876,13219,24791,1.11177038
16,90791,11961,32418,34742,11670,1.33926993
17,758730,161668,187424,99733,309905,1.42193518
18,59865,31314,5821,12692,10038,1.63358068
19,442715,176199,45134,43586,177796,1.82804384
20,489688,193771,49876,49031,197010,1.82898181
21,251694,43977,62622,32080,113015,1.99240046
22,151467,70657,17807,25257,37746,2.03582427
23,87678,11511,28491,38458,9218,2.10276901
24,113550,28327,27318,38070,19835,2.25884698
25,90764,26011,11131,8826,44796,2.52807289
26,62521,8046,19133,28383,6959,2.62048331
27,254674,79576,35752,31286,108060,2.98150814
28,118385,11926,61200,27311,17948,3.09942895
29,46227,23568,3862,5693,13104,3.19380343
30,109415,56292,10068,14735,28320,3.22829966
31,83554,31924,10822,29332,11476,3.30940036
32,148476,52753,25370,37734,32619,3.46479500
33,276302,80230,54759,51298,90015,3.48291520
34,187784,30892,50368,84354,22170,3.73814454
35,128908,26826,29330,55245,17507,3.75296910
36,66135,5052,27913,27846,5324,3.81809988
37,185518,50214,41870,47571,45863,4.13884186
38,115261,22735,21591,10926,60009,4.19484642
39,106577,13348,34374,47310,11545,4.33793537
40,294356,30407,150475,61313,52161,4.39584233
41,297833,46125,90759,119618,41331,4.85014682
42,308703,155479,31975,73248,48001,4.87600082
43,51618,23821,4682,5534,17581,4.91860465
44,216452,55222,37069,27657,96504,4.94230950
45,63832,6595,33160,13971,10106,5.00206818
46,128321,37995,25816,25562,38948,5.06995889
47,120628,53645,15807,24120,27056,5.12557726
48,67601,11303,22458,22912,10928,5.43836733
49,110345,14749,35392,13825,46379,5.59344096
50,390617,189276,45137,75470,80734,5.71125398
51,71344,23788,13225,18859,15472,5.95369984
52,246272,95577,27251,27686,95758,5.97968506
53,279023,83250,64068,67513,64192,6.07755023
54,252007,34357,70155,26426,121069,6.15582566
55,238434,99317,19649,20097,99371,6.37669671
56,94093,19782,22063,14695,37553,6.47022385
57,401148,99506,101063,87409,113170,6.53684730
58,101434,44178,13948,18239,25069,6.55287625
59,121757,34882,26154,25767,34954,6.57479152
60,149919,19506,66448,31774,32191,6.63177159
61,91665,27810,18997,20825,24033,7.09235857
62,155530,15222,82287,34036,23985,7.13947737
63,57092,4566,24903,22948,4675,7.47109327
64,180861,25843,67475,60386,27157,7.63874474
65,286628,112753,44684,68182,61009,7.80725996
66,114354,22062,21331,10533,60428,8.00548774
67,154062,14657,57332,13211,68862,8.50622554
68,562701,223761,60906,214080,63954,8.55914768
69,203004,24651,76866,25800,75687,8.70416671
70,36079,2960,17291,12223,3605,8.85305392
71,222694,58532,32057,107518,24587,8.95778533
72,379729,100027,89184,107117,83401,9.11429243
73,255738,68197,35778,27902,123861,9.25519644
74,138854,12631,66115,15435,44673,9.44294063
75,167283,20643,48979,15445,82216,9.51410290
