event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,45839,3282,20022,18871,3664,0.23448701
2,46127,8582,11508,6177,19860,0.38262148
3,185406,60748,20768,16296,87594,0.48633684
4,132542,35552,19199,63476,14315,0.48670948
5,141707,28014,24929,14156,74608,0.73331871
6,82118,13432,27170,13225,28291,1.06640305
7,116886,29011,20903,15013,51959,1.09890917
8,91235,32699,15340,22961,20235,1.24087431
9,54019,15758,10438,8601,19222,1.54651610
10,143039,32284,29321,63193,18241,1.54946286
11,86331,18254,23423,28291,16363,1.60670963
12,254733,66326,59631,75794,52982,1.85265907
13,99920,17735,34067,28034,20084,1.92334420
14,59168,18498,10307,20023,10340,2.18063896
15,536686,201810,62733,212469,59674,2.49628745
16,56443,6826,22965,7003,19649,2.55248202
17,143795,18521,59841,24956,40477,2.75371227
18,131346,37070,28709,36246,29321,2.86423928
19,181722,56119,27188,19697,78718,3.02705275
20,358335,112774,70294,73545,101722,3.04700653
21,532782,224269,73778,100218,134517,3.24869268
22,75246,16172,16301,33310,9463,3.28179186
23,320671,121676,35551,35047,128397,3.29932931
24,391057,148293,40303,165648,36813,3.34775689
25,56551,25469,6616,15145,9321,3.74164492
26,398336,43473,164357,144071,46435,3.78855451
27,76364,11934,17346,39627,7457,3.79512702
28,294710,57196,89900,58661,88953,3.92621993
29,187246,42531,51521,49267,43927,4.01328815
30,272406,74553,62020,75007,60826,4.23119686
31,578727,79574,200183,228128,70842,5.54331506
32,508580,72905,170336,196664,68675,5.70158953
33,170536,14808,72053,14979,68696,6.07740411
34,66852,22642,12462,17195,14553,6.13649091
35,62569,22662,6924,6114,26869,6.13823289
36,135196,17508,40526,62999,14163,6.27847018
37,42667,22517,3633,6098,10419,6.29415882
38,130485,17600,48321,17426,47138,6.31926579
39,127215,60202,11630,41981,13402,6.35396695
40,77738,10380,27427,30553,9378,6.39616783
41,140478,29955,41684,30611,38228,6.66578728
42,191096,45880,50910,42343,51963,6.70138409
43,567827,90179,216417,145645,115586,7.02517961
44,262749,57029,66586,45740,93394,7.53155168
45,247728,30548,114783,44610,57787,7.67780842
46,231349,68888,41995,36834,83632,7.94700401
47,75213,7599,38215,9241,20158,8.15447117
48,62528,16034,9914,30058,6522,8.23714623
49,217382,58314,31428,24267,103373,8.24678053
50,262720,39252,71998,30460,121010,8.26422370
51,76099,23342,15720,17188,19849,8.29086250
52,278495,78707,43009,34414,122365,8.51660991
53,142117,60059,12132,57658,12268,8.74453037
54,95891,16248,26257,41679,11707,9.26204131
55,51696,14514,9988,8624,18570,9.49396956
56,430734,80677,100445,196096,53516,9.56984462
57,76642,8103,31267,28466,8806,9.74486124
58,236430,79690,42948,65570,48222,9.78848614
59,64723,26008,9780,13528,15407,9.83536814
60,306478,70126,51128,31737,153487,9.91264156
61,86706,10959,24273,43107,8367,10.13772179
62,57243,4911,26415,5390,20527,10.16588415
63,50185,21668,3728,3668,21121,10.51887956
64,46546,5124,18821,17510,5091,10.52979099
65,267850,100306,43251,64005,60288,10.71216060
66,83694,23322,17210,26634,16528,10.80391442
67,338344,163890,34663,50802,88989,10.85646061
68,66160,8538,17645,5362,34615,11.02454337
69,140640,45590,24998,25970,44082,11.15982319
70,61625,13011,15086,24373,9155,11.17777532
71,152627,70895,17249,21061,43422,11.27796238
72,146495,39745,29987,26729,50034,11.33537980
73,83008,9448,26041,6988,40531,11.61611076
74,69412,12288,17579,31061,8484,11.71894041
75,57515,8112,21121,9067,19215,11.92097517
76,569778,202554,99396,141306,126522,12.00151958
77,84338,15853,22441,12692,33352,12.19117046
78,466584,97469,139870,107237,122008,12.23716655
79,794548,105346,287074,102942,299186,12.66126175
80,137473,21393,49445,23150,43485,12.91873671
81,137669,30487,33239,52182,21761,12.95305055
82,73066,12052,15656,6882,38476,13.17840727
83,86898,15240,28436,16623,26599,13.59921184
84,115028,42367,11412,10823,50426,13.87759754
85,79423,23220,15132,13743,27328,14.18027848
86,69249,19556,15340,18221,16132,14.21662269
87,62215,16076,13568,22205,10366,14.22196170
88,366313,54532,119720,140058,52003,14.47279147
89,97396,20842,27920,20023,28611,14.83419539
90,125391,40091,24428,24535,36337,14.95812442
91,71631,25423,9617,27016,9575,15.31967947
92,154854,45290,30438,28208,50918,15.34957272
93,136203,18190,59206,28123,30684,15.37876127
94,82456,16604,23023,15027,27802,15.46490613
95,52839,22521,6245,16517,7556,15.59586080
96,96076,16727,33308,21860,24181,15.61524586
97,64727,7148,29238,19596,8745,15.81149183
98,155183,11892,65074,12740,65477,15.98483040
99,70261,15731,17105,26349,11076,16.00017689
100,180312,18112,88445,22685,51070,16.53617592
101,129204,28258,37180,35070,28696,16.61626457
102,226884,96855,21609,86485,21935,16.83145105
103,204722,106696,21191,44424,32411,16.91461245
104,39188,18593,2835,3578,14182,17.18010645
105,65673,25765,8442,8577,22889,17.22005091
106,106709,16520,42383,21754,26052,17.51283098
107,85233,31610,12681,13566,27376,17.57455062
108,107050,23084,23660,45520,14786,17.69563268
109,138391,55299,17419,46416,19257,17.79423527
110,126496,34001,26957,21156,44382,18.13395286
111,566851,173521,108224,109208,175898,18.35770753
112,230017,107674,21753,26385,74205,18.47101478
113,290782,148185,30062,49899,62636,18.55009106
114,91970,32300,8779,43110,7781,18.55745024
115,150160,14738,79536,27571,28315,18.78351091
116,48989,10148,8581,4246,26014,19.42185202
117,120283,10762,46551,52696,10274,19.42950917
118,176957,77397,23810,40950,34800,19.53760107
119,54643,10474,10759,5153,28257,19.69466579
120,74954,14365,19882,11212,29495,19.76888570
121,132610,15697,41392,11431,64090,19.81386370
122,110541,32921,21945,21187,34488,19.81811833
123,108170,45553,8600,45288,8729,20.21126333
124,83251,12117,28528,30952,11654,20.22519808
125,110304,13327,32672,9532,54773,20.40139851
126,124374,62778,13914,21818,25864,20.51395222
127,47949,15193,6668,5299,20789,20.96875590
128,60075,14646,15815,13092,16522,21.00152552
129,46765,4387,25021,9832,7525,21.28145505
130,211335,59864,35435,88424,27612,21.30834613
131,391639,185735,39604,56374,109926,21.47202456
132,82508,37796,10151,19368,15193,21.50280351
133,69989,23621,7602,6486,32280,21.62135911
134,62315,18163,13463,13639,17050,21.62564302
135,93933,18493,16602,49718,9120,21.67076398
136,216892,36489,44722,113135,22546,22.00530418
137,81980,22335,19247,22334,18064,22.06963999
138,160985,21384,61475,56260,21866,22.76746948
139,80103,13955,17135,8192,40821,22.87131700
140,158508,12797,66738,12884,66089,23.36576724
141,64021,24291,9369,20262,10099,23.37903282
142,60564,23269,8830,18232,10233,23.60420199
143,127752,13368,62658,17539,34187,24.01491278
144,499450,184087,81263,100254,133846,24.07047478
145,845650,114053,316712,272018,142867,24.11324405
146,214518,49017,46022,33903,85576,24.16147984
147,86812,25223,17192,28977,15420,24.35003325
148,299884,130287,26881,114026,28690,24.60002400
149,212930,95536,18356,79444,19594,24.60012112
150,162365,29638,54356,39440,38931,24.98883700
151,81416,6820,41577,9695,23324,25.61131778
152,136391,36081,18135,13290,68885,25.76141387
153,153647,12342,75254,48470,17581,25.89498220
154,53886,25798,4790,6122,17176,26.27613833
155,81622,9103,38848,13725,19946,26.70965019
156,200765,64349,37847,58695,39874,26.81046090
157,139709,44161,28228,30260,37060,27.14495966
158,132167,35824,26307,21882,48154,27.19748839
159,120134,43519,11476,54131,11008,27.22950944
160,263155,54210,55184,121859,31902,27.44751641
161,161998,15414,86003,25963,34618,27.52763429
162,195108,66903,35924,57122,35159,27.96552316
163,194072,58257,31966,29610,74239,28.02359568
164,112687,18950,39236,31981,22520,28.54421651
165,481360,86312,117747,57460,219841,28.73683234
166,91936,44440,9416,12138,25942,28.88044751
167,218833,101031,27516,42394,47892,29.11571828
168,92828,8535,49358,14829,20106,29.12368707
169,68040,13672,20863,16850,16655,29.46677534
170,250845,130475,25299,55127,39944,29.49099524
171,124590,46960,15177,47785,14668,29.63464318
172,78413,7908,26321,6385,37799,29.78113627
173,76393,19852,14475,11428,30638,29.80756768
174,322856,33830,163540,64975,60511,30.18172209
175,125680,19413,45475,39729,21063,30.25120365
176,89815,18123,29219,17442,25031,30.27269710
177,84270,7956,43542,11124,21648,30.53748741
178,70946,10070,17455,36961,6460,30.65296003
179,243938,24708,127319,52092,39819,30.67324470
180,52711,25079,5555,14600,7477,31.24972685
181,152503,29363,32894,72187,18059,31.40196022
182,72088,11209,20344,8306,32229,31.42000689
183,191605,80062,23491,69436,18616,31.50947753
184,88365,16828,25909,32103,13525,31.55351165
185,341925,50464,109480,135199,46782,31.85412369
186,190722,19318,96823,45958,28623,31.92920340
187,106472,16794,31936,42991,14751,32.00212205
188,43110,12463,9308,9000,12339,32.15531762
189,149955,66537,17842,24186,41390,32.16775968
190,208735,23780,94354,62394,28207,32.38351680
191,296333,67965,61840,123274,43254,32.59712822
192,312637,94258,64847,85500,68032,32.61772015
193,87110,29939,14749,16757,25665,32.72985291
194,104125,19428,19472,55638,9587,32.75664504
195,197877,74799,26569,68767,27742,33.03720231
196,97043,8690,46309,10723,31321,33.09962790
197,56709,11612,15036,9903,20158,33.17042557
198,308298,140905,37067,80341,49985,33.20479970
199,440121,178718,42469,45339,173595,33.29632433
200,73356,24684,11233,26362,11077,33.56694545
201,232939,91236,35635,63231,42837,33.61195897
202,94582,39455,13913,22101,19113,33.77708111
203,89280,35410,13760,18174,21936,34.05493400
204,382637,36584,159638,38466,147949,34.17084991
205,430196,41277,178629,43474,166816,34.17098658
206,331974,115592,51873,54281,110228,34.55068942
207,508953,165092,72018,209358,62485,34.56213157
208,133771,29808,35090,26169,42704,34.63684650
209,115396,36858,13033,55046,10459,34.65384010
210,650977,114956,220464,189604,125953,34.69270240
211,219762,34224,58340,25121,102077,34.83234515
212,690075,244193,95953,96434,253495,34.88887402
213,584562,97633,213788,144595,128546,35.19050711
214,59654,9916,15483,27903,6352,35.29277127
215,58621,24089,5901,22596,6035,35.71648927
216,149119,11911,63667,12850,60691,35.77453039
217,131386,27119,35949,23659,44659,35.77504018
218,182320,43118,36123,26670,76409,36.08541837
219,102816,36399,14794,14626,36997,37.06883259
220,278814,65995,62692,47119,103008,37.53550914
221,45625,15910,4367,3456,21892,37.84667698
222,489069,195573,74689,125683,93124,38.17089741
223,58495,11753,13755,25591,7396,38.38929470
224,165478,33184,33104,80603,18587,38.57789484
225,134402,14910,68399,28696,22397,38.62083508
226,68966,26422,10407,12739,19398,38.70064335
227,192514,31555,72248,48340,40371,38.78800518
228,119457,11651,54674,13290,39842,39.42989536
229,121279,44098,11584,10418,55179,39.43492461
230,74564,36197,8367,13111,16889,39.54402110
231,189632,86581,23782,45083,34186,39.74178995
232,128605,13815,65966,26274,22550,40.12066980
233,181267,29121,51447,78444,22255,40.13463060
234,55529,24149,7210,11939,12231,40.22730310
235,44829,15705,5381,4780,18963,40.28751680
236,70723,10103,17490,36946,6184,40.28859291
237,145522,25720,37050,21081,61671,40.39151476
238,86171,24019,12936,9877,39339,41.23083351
239,108757,15814,42542,18377,32024,41.37806407
240,84705,12451,20498,43928,7828,41.52635660
241,77044,23187,15789,18294,19774,41.54429153
242,55712,24613,6711,9482,14906,41.63060194
243,43337,17999,3620,3414,18304,41.95969641
244,315711,63803,60757,33210,157941,41.97071273
245,93337,10303,37210,34836,10988,41.97414462
246,156868,40223,32035,59101,25509,42.02876866
247,355546,66828,81316,163195,44207,42.35034803
248,107405,33420,16080,43228,14677,42.46131400
249,210528,108868,21624,47896,32140,42.46735885
250,96290,25950,21639,24692,24009,42.56549554
251,121110,48554,18493,29074,24989,43.04045630
252,129082,67704,12787,24755,23836,43.29261275
253,89879,18783,15409,46377,9310,43.40018469
254,113102,40125,18459,21909,32609,43.52978563
255,258134,96516,30396,29262,101960,43.59141551
256,95489,50181,9144,14771,21393,43.59778247
257,143797,21100,59336,35876,27485,43.62456286
258,128536,14340,51819,16674,45703,43.65538734
259,89742,21928,17994,36081,13739,43.87258484
260,395083,183071,42967,58298,110747,43.95148913
261,128072,15597,42018,13185,57272,44.14004820
262,75086,19087,15928,27624,12447,44.43697358
263,93676,11736,30847,41885,9208,44.61197430
264,54288,17860,6621,5336,24471,44.93853254
265,159245,28936,54079,36205,40025,45.28271456
266,627364,226315,156742,143888,100419,45.31111393
267,132865,26998,31323,20200,54344,45.51788754
268,231734,82178,39846,62757,46953,45.77423322
269,113608,16700,41421,35684,19803,45.85730252
270,239222,24993,116691,66995,30543,45.98188471
271,123870,27406,19142,65290,12032,46.06751587
272,39840,10477,9837,10789,8737,46.22229426
273,58416,4190,27893,6003,20330,46.40674115
274,70961,19863,14443,22894,13761,46.43500023
275,73270,21355,15757,17533,18625,46.50720693
276,203008,46058,54802,51858,50290,46.65238541
277,269984,43233,60318,137538,28895,46.87430673
278,247208,72985,39576,36383,98264,46.95257974
279,452870,69788,177326,83757,121999,47.04846381
280,134090,23278,33281,61516,16015,47.39662302
281,67351,11187,15172,6671,34321,47.49926133
282,80244,7203,35434,7419,30188,47.72581547
283,70586,15166,19747,19401,16272,48.32497613
284,282244,81944,35355,137672,27273,48.41623270
285,50269,9567,11953,6016,22733,48.53434543
286,272527,46158,94255,54398,77716,48.97667486
287,76124,14558,17301,34834,9431,49.05022738
288,84991,18011,25239,22761,18980,49.52262551
289,131423,55718,18157,23402,34146,49.65771919
290,105796,36458,18524,25048,25766,49.81853444
291,139185,14547,61354,46933,16351,49.91438603
292,94879,14495,33011,14422,32951,50.04804244
293,313197,136496,39061,88551,49089,50.12949394
294,58796,16112,13538,16686,12460,50.29405605
295,41099,13704,6520,14723,6152,50.52230026
296,96158,17013,22922,44831,11392,50.65308175
297,48074,4602,16866,22610,3996,50.98821042
298,208354,58079,38135,80548,31592,51.32252482
299,199091,65653,25038,90638,17762,51.42577858
300,64331,5702,33346,8232,17051,51.53561244
301,237381,38151,51289,123857,24084,51.54406962
302,143146,66677,12524,15852,48093,51.69655276
303,167831,33647,52272,34150,47762,51.74154307
304,72587,8583,28347,8983,26674,51.83449339
305,79669,8072,39254,11989,20354,51.87738031
306,82248,36485,9794,23161,12808,51.91831016
307,70643,13986,16434,11623,28600,52.16585419
308,354491,141219,38071,39497,135704,52.17671535
309,67731,9236,29163,12798,16534,52.36532715
310,227150,75131,33330,85966,32723,52.46789591
311,47005,20229,3339,3275,20162,52.56718807
312,166828,63327,19635,64470,19396,52.68305745
313,62302,7563,18955,29999,5785,52.68543082
314,76544,10467,32681,16075,17321,52.75993517
315,110946,49148,10176,41218,10404,52.99562125
316,75984,16754,19618,13797,25815,53.68658315
317,88808,13124,22468,9811,43405,53.69299039
318,97998,24890,14350,10057,48701,53.81198634
319,101130,13571,31150,11295,45114,54.15239389
320,65502,8635,25738,9183,21946,54.80783147
321,115422,59395,12353,24069,19605,54.94054487
322,167161,36838,47191,47422,35710,54.97862104
323,114447,41626,14203,12935,45683,55.63790256
324,728961,161463,168854,109042,289602,55.78977947
325,271836,26817,117998,29000,98021,55.93678560
326,127080,17458,49037,18167,42418,56.07374421
327,114947,9948,48225,9944,46830,56.34415763
328,172770,80588,15900,18597,57685,56.36369490
329,118620,13469,57546,23828,23777,56.43064313
330,66716,24804,9655,22279,9978,56.60793898
331,195288,22082,68487,86489,18230,56.78551387
332,92241,39445,13044,21615,18137,57.25015381
