event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,133506,34993,26901,50281,21331,0.05609954
2,179012,31445,50111,69783,27673,0.07549744
3,171660,72993,24560,33304,40803,0.13356707
4,46190,6952,18645,9037,11556,0.14341990
5,150137,16800,72796,32800,27741,0.26298603
6,221947,30652,87376,71788,32131,0.39170364
7,75358,28082,6672,34126,6478,0.58150308
8,330981,96252,52549,138286,43894,0.69323699
9,171196,74533,22843,38180,35640,0.83675788
10,114437,41050,11102,9430,52855,1.00938294
11,146725,13999,55333,13628,63765,1.01623424
12,62985,29411,5998,20482,7094,1.09574276
13,57170,6947,25103,10131,14989,1.13295613
14,340405,42263,154938,84216,58988,1.17692552
15,108907,56396,11545,23675,17291,1.54940285
16,152836,28422,39750,62569,22095,1.57160873
17,178323,66614,21841,21248,68620,1.83986352
18,67418,34288,7177,12052,13901,2.51641396
19,96987,26317,16555,12349,41766,2.71526264
20,64096,11748,21551,16301,14496,2.84377908
21,577748,138166,131460,100179,207943,3.51964349
22,76957,37453,8345,18663,12496,3.70814668
23,186494,36842,35260,19876,94516,4.11746421
24,473239,203027,59651,77055,133506,4.30159159
25,75288,14690,24206,17721,18671,4.32651003
26,92469,44530,7678,10056,30205,4.40004077
27,252503,108825,31595,41438,70645,4.42110141
28,48294,9677,15636,10512,12469,4.52696852
29,76355,12890,26855,16658,19952,4.59693599
30,94244,38165,8931,9011,38137,4.67209268
31,160474,49781,19364,75124,16205,4.78950653
32,146265,33794,38228,35912,38331,5.28124577
33,105838,22206,17678,55251,10703,5.50356257
34,102792,10528,52647,15134,24483,5.60738765
35,68146,15049,13575,31363,8159,5.69726115
36,55814,26852,5478,16486,6998,5.96253228
37,75375,11465,30601,15090,18219,6.28530927
38,109772,31622,13847,11272,53031,6.63236720
39,68764,20638,8842,32190,7094,6.64369504
40,97385,23724,16037,46685,10939,6.84143324
41,227653,79885,37369,40418,69981,7.48374793
42,210934,21202,86967,81615,21150,7.49752098
43,37598,15863,2852,3103,15780,7.64139176
44,47734,9086,12698,19158,6792,8.37421212
45,48371,4180,22546,5117,16528,8.42440914
46,78374,13421,21136,10613,33204,8.43528318
47,474179,184224,61654,68542,159759,8.46222693
48,80100,8756,30854,32122,8368,8.48867305
49,201179,82993,27163,33520,57503,8.53883694
50,114540,60825,11131,24668,17916,9.13858374
51,42371,5587,11828,3536,21420,9.43694703
52,277670,35166,90264,122614,29626,9.66137704
53,70024,9010,30690,17674,12650,9.78594561
54,96086,10886,42886,13363,28951,10.12223458
55,174686,46379,40989,36195,51123,10.17036140
56,487102,47336,196908,53245,189613,10.33334460
57,111724,18477,41524,28944,22779,10.43130663
58,688579,247058,90780,82092,268649,10.45831867
59,64573,9267,16821,6499,31986,10.65911902
60,46272,19887,3529,3389,19467,10.90215389
61,134639,69352,13295,32296,19696,10.90547021
62,439895,197935,48478,133498,59984,11.01690244
63,61069,19443,12055,15101,14470,11.04607983
64,204140,61357,41907,41786,59090,11.10031329
65,103193,21043,31963,22763,27424,11.16541524
66,82397,25417,13424,31655,11901,11.21862310
67,53267,19044,4829,25018,4376,11.84676912
68,62897,11938,16258,25246,9455,11.86916030
69,79530,24124,9231,6767,39408,12.19511245
70,37245,15878,2891,2760,15716,12.35275454
71,106008,9517,50059,35265,11167,12.39988931
72,507735,199152,55428,57137,196018,12.78531714
73,155543,28385,48480,52597,26081,12.80773030
74,122029,17715,35311,13815,55188,13.00148547
75,85348,13366,28000,13198,30784,13.15477859
76,49722,9868,9917,24901,5036,13.30300351
77,266784,81922,55616,69427,59819,13.71955945
78,66402,11858,21671,19846,13027,13.76177454
79,322104,156721,31910,47451,86022,13.94989713
80,54085,13038,10302,6729,24016,14.07926189
81,220295,47917,48602,91693,32083,14.69138726
82,63753,11103,22514,16467,13669,14.75042254
83,135778,13425,55514,53923,12916,14.79077025
84,198020,17212,85776,18573,76459,14.86365860
85,57774,5170,31063,10165,11376,14.89886303
86,362001,149062,32350,104533,76056,15.52799096
87,55664,7239,23454,9667,15304,15.95983988
88,67336,18140,14723,12581,21892,16.02707406
89,143396,56173,20908,24746,41569,16.19440072
90,447285,55634,149546,196272,45833,16.33624772
91,69338,15747,13426,8930,31235,16.94240108
92,71515,11814,15835,6601,37265,17.35920210
93,205199,33229,45246,104182,22542,17.42222235
94,87711,18669,17735,10236,41071,17.57289506
95,130668,51995,20085,31635,26953,17.57773614
96,45060,5785,19575,11742,7958,17.65130347
97,172999,19576,65820,19109,68494,17.66266578
98,169561,28777,49788,24543,66453,18.07718275
99,107405,15532,26442,54816,10615,18.26184279
100,98751,24058,24926,29774,19993,18.48907724
101,410230,99937,106432,101393,102468,18.88100990
102,165574,43662,29483,70416,22013,18.88777953
103,90461,7206,42453,9607,31195,18.98029003
104,201578,55355,26631,21482,98110,19.05486570
105,154406,15405,54055,13642,71304,19.12104737
106,101088,14196,25467,51788,9637,19.16303598
107,518090,97897,155142,93183,171868,19.44798909
108,163340,61194,26740,40318,35088,19.61349278
109,111711,23509,32715,23610,31877,19.93147043
110,98326,10702,48666,13390,25568,20.42953731
111,159871,15841,84360,30824,28846,20.75415115
112,78373,14453,15237,41218,7465,20.84179754
113,55800,18909,7822,21154,7915,20.84362669
114,69076,18311,11499,31228,8038,21.05185779
115,128607,30916,29451,21017,47223,21.05316175
116,63641,9664,24962,15134,13881,21.11987413
117,50420,7488,15002,5725,22205,21.14377328
118,45926,9320,7892,24338,4376,21.17338924
119,84298,22272,20209,17986,23831,21.21593057
120,43850,5621,11065,3846,23318,21.27134539
121,73737,26297,9103,30228,8109,21.49721253
122,66871,15731,10367,6517,34256,21.64513250
123,42701,19527,4907,6215,12052,21.81160583
124,192038,39309,43101,83939,25689,21.85995048
125,97064,28709,20340,25436,22579,22.21912908
126,318637,66082,60135,155571,36849,22.29548787
127,271373,79013,42427,114243,35690,22.72868572
128,171081,18360,74424,21408,56889,22.73235440
129,59756,14693,13876,9699,21488,22.89839336
130,232693,80022,28200,24808,99663,23.03386514
131,453148,82742,110434,61213,198759,24.28752243
132,218527,22165,77310,18960,100092,24.43285804
133,356477,73659,81531,149624,51663,24.65724915
134,71237,6667,37785,15672,11113,25.79895549
135,68388,6019,29970,26144,6255,25.80068278
136,179003,35065,58551,44867,40520,25.90234235
137,122419,36988,19446,17784,48201,25.99407301
138,53745,19449,8188,17442,8666,26.06344566
139,138148,72357,14472,27181,24138,26.08840958
140,70168,6984,25683,6573,30928,26.34233144
141,52017,10308,10570,25408,5731,26.82709637
