event_numbers, total_energy (keV), ch1_energy, ch2_energy, ch3_energy, ch4_energy, time_stamp (sec)
1,214207,19965,106293,61293,26656,0.02864035
2,132695,22212,46402,32346,31735,0.08615161
3,201325,106652,19972,36407,38294,0.09154362
4,30847,7954,8094,8459,6340,0.11864408
5,44595,3401,20230,17129,3835,0.24832888
6,88196,20113,22407,16047,29629,0.39772524
7,126191,40958,20062,45850,19321,0.52753600
8,51820,19292,5340,22345,4843,0.69346243
9,98152,16168,36363,20849,24772,0.74267614
10,65936,5567,33296,19421,7652,0.75664941
11,201309,20192,106284,39287,35546,0.78142613
12,47713,15392,5038,23479,3804,0.78148700
13,77159,9377,22575,38105,7102,0.78514563
14,100513,30442,11702,9643,48726,0.93678321
15,90029,8030,45851,11385,24763,1.08713564
16,84891,10768,23339,7227,43557,1.22074053
17,110473,10120,43872,46537,9944,1.23510639
18,184246,22361,81773,52309,27803,1.26171638
19,143375,36155,30953,23352,52915,1.27972446
20,143239,48239,18314,59927,16759,1.33973046
21,118466,25704,33389,29855,29518,1.35584304
22,68310,14491,18334,11695,23790,1.45517742
23,626805,113887,165644,84097,263177,1.48549108
24,202437,99792,23152,44828,34665,1.51111584
25,46946,4987,19655,16670,5634,1.52647984
26,131313,33251,21995,15545,60522,1.54963510
27,93606,17730,21600,42491,11785,1.55007821
28,43067,18547,3328,3328,17864,1.57629600
29,95120,13324,39971,24685,17140,1.60962809
30,95719,17034,26829,38659,13197,1.65116214
31,43719,19191,5555,8332,10641,1.68552672
32,132566,11642,66034,39415,15475,1.76070229
33,127450,25238,25616,62602,13994,1.80003886
34,57269,23182,6376,20281,7430,1.83422714
35,44241,12867,6960,18963,5451,1.84021078
36,65582,14809,10071,34550,6152,1.85572708
37,184242,40306,36412,84819,22705,1.86013713
38,44761,20519,3809,4075,16358,1.89174926
39,73799,11011,19484,8265,35039,1.91304437
40,228060,22671,120337,40791,44261,1.97268489
41,66699,9521,26988,19693,10497,1.98701927
42,48588,7797,15533,18154,7104,2.04423503
43,138374,20728,38677,17695,61274,2.08987114
44,51396,27754,4981,8542,10119,2.14169552
45,126832,29957,24527,55014,17334,2.18701824
46,54190,7613,22071,16121,8385,2.19907246
47,145921,19049,60785,22782,43305,2.20865942
48,67782,22453,7247,31988,6094,2.21761069
49,396985,86330,75936,47971,186748,2.22049320
50,216433,100781,20370,24721,70561,2.28633645
51,36602,5348,12515,14562,4177,2.30473142
52,181289,45109,28779,87461,19940,2.35693953
53,96327,16008,19793,50825,9701,2.41051307
54,114642,26924,26759,42408,18551,2.53656599
55,80073,34101,10066,24145,11761,2.58379846
56,136312,71644,14023,27975,22670,2.60420773
57,34832,4709,13324,5506,11293,2.67208041
58,202974,87405,27982,43877,43710,2.69645511
59,47047,16160,8068,11973,10846,2.85943610
60,111225,32703,16923,48551,13048,2.86929675
61,75924,20135,14624,11614,29551,2.89777059
62,137398,28684,35813,49573,23328,2.91825822
63,61129,12644,11278,30968,6239,2.93507400
64,123745,14198,59150,23916,26481,2.94511043
65,50197,21508,3812,3680,21197,2.99328042
66,209616,65944,38486,68511,36675,3.04894599
67,204625,37588,68394,51562,47081,3.09031084
68,54654,25890,4947,6100,17717,3.13486479
69,178476,60907,29476,56048,32045,3.13909657
70,57240,24150,6674,18031,8385,3.22451703
71,230187,117840,25127,48796,38424,3.24474350
72,98359,19014,29727,32397,17221,3.25229960
73,257896,93217,24969,116757,22953,3.34883624
74,52624,13714,9080,6343,23487,3.34939805
75,52105,5855,18375,4973,22902,3.37999049
76,89727,43466,9560,22732,13969,3.39038864
77,221270,23060,76516,19270,102424,3.39196689
78,59539,6375,29279,12649,11236,3.45002235
79,147198,13229,69827,48230,15912,3.52930129
80,135424,58390,15604,43464,17966,3.62948592
81,73884,13363,14705,38089,7727,3.64495036
82,73005,31669,9594,12702,19040,3.66007082
83,106097,9358,51166,33793,11780,3.66687412
84,135500,12619,47083,11967,63831,3.69690964
85,375796,37367,144541,34025,159863,3.81663933
86,41929,3425,17550,3028,17926,3.88258841
87,208369,28017,56706,22080,101566,3.88325163
88,111496,12521,35525,11988,51462,3.92185379
89,62949,20103,8719,7819,26308,4.02350841
90,154680,23847,40705,19710,70418,4.04934342
91,129576,13218,68608,26911,20839,4.17104503
92,51308,16644,6440,5464,22760,4.17419700
93,224616,32231,91532,61592,39261,4.18136685
94,93813,9022,50441,15473,18877,4.20067887
95,173466,88349,18467,26785,39865,4.31047132
96,67065,19031,9728,7252,31054,4.40607026
97,105773,35341,14449,42816,13167,4.42010685
98,90026,13871,31783,27188,17184,4.46284530
99,110167,35055,21676,27455,25981,4.56776400
100,45305,6073,11825,3831,23576,4.57863280
101,233792,88746,29231,85794,30021,4.60640651
102,58052,10342,11867,30109,5734,4.61667080
103,87168,11377,32652,11437,31702,4.62716937
104,115786,18736,24528,61137,11385,4.78138130
105,141274,21489,42511,58007,19267,4.88776870
106,196469,37505,44310,24969,89685,4.90605705
107,54884,6711,16340,6368,25465,4.91039654
108,229192,30974,91022,35904,71292,4.91444883
109,201656,101250,20356,53535,26515,4.93447892
110,122494,12141,61788,17465,31100,4.93626609
111,197923,65948,29157,29093,73725,4.96205063
112,219773,71611,28008,24171,95983,4.98931887
113,87338,22182,12306,7652,45198,5.01179977
114,131239,11733,61344,13433,44729,5.04120931
115,181868,33887,38445,88686,20850,5.07956809
116,182851,29557,39730,95382,18182,5.12602157
117,114582,15837,29020,58005,11720,5.13204812
118,162720,28436,57463,35359,41462,5.17886524
119,64305,16083,15196,12303,20723,5.27434728
120,118779,11859,41844,11098,53978,5.31153782
121,84546,23150,14202,37001,10193,5.34437473
